Molecule,SMILES,Rotors,Conformers,ElapsedTime(s),Status
"8@reactant",C=CC(=O)Nc1ccc(cc1)N,3,1,1.25
"8@intermediate",CSCCC(=O)Nc1ccc(cc1)N,5,14,0.01
"9@reactant",C=CC(=O)Nc1ccc(cc1)F,3,1,0.00
"8@product",CSCCC(=O)Nc1ccc(cc1)N,5,14,0.01
"9@intermediate",CSCCC(=O)Nc1ccc(cc1)F,5,14,0.01
"9@product",CSCCC(=O)Nc1ccc(cc1)F,5,14,0.00
"10@reactant",C=CC(=O)NCc1ccccc1,4,6,0.00
"11@reactant",CN(c1ccccc1)C(=O)C=C,3,4,0.02
"11@intermediate",CN(c1ccccc1)C(=O)CCSC,5,34,0.08
"10@intermediate",CSCCC(=O)NCc1ccccc1,6,65,0.02
"10@product",CSCCC(=O)NCc1ccccc1,6,65,0.01
"12@reactant",C=CC(=O)Nc1ccccc1,3,1,0.01
"12@intermediate",CSCCC(=O)Nc1ccccc1,5,16,0.02
"12@product",CSCCC(=O)Nc1ccccc1,5,16,0.01
"13@reactant",Cc1ccccc1NC(=O)C=C,3,3,0.01
"11@product",CN(c1ccccc1)C(=O)CCSC,5,34,0.01
"13@intermediate",Cc1ccccc1NC(=O)CCSC,5,25,0.02
"14@reactant",COc1ccc(cc1)NC(=O)C=C,4,2,0.00
"13@product",Cc1ccccc1NC(=O)CCSC,5,25,0.01
"15@reactant",C=CC(=O)Nc1ccccc1C#N,3,3,0.02
"14@intermediate",COc1ccc(cc1)NC(=O)CCSC,6,24,0.02
"14@product",COc1ccc(cc1)NC(=O)CCSC,6,24,0.00
"15@intermediate",CSCCC(=O)Nc1ccccc1C#N,5,27,0.01
"16@reactant",C=CC(=O)Nc1cccc(c1)F,3,2,0.00
"15@product",CSCCC(=O)Nc1ccccc1C#N,5,27,0.02
"16@intermediate",CSCCC(=O)Nc1cccc(c1)F,5,34,0.02
"17@reactant",Cc1ccc(cc1)NC(=O)C=C,3,1,0.00
"16@product",CSCCC(=O)Nc1cccc(c1)F,5,34,0.00
"18@reactant",C=CC(=O)Nc1ccccn1,3,1,0.01
"17@product",Cc1ccc(cc1)NC(=O)CCSC,5,14,0.01
"17@intermediate",Cc1ccc(cc1)NC(=O)CCSC,5,14,0.00
"3@intermediate",CSCCC(=O)N1CCC[C@H](C1)n2c3c(c(n2)c4ccc(cc4)Oc5ccccc5)c(ncn3)N,8,100,0.03
"18@product",CSCCC(=O)Nc1ccccn1,5,13,0.00
"19@reactant",C=CC(=O)Nc1ccc(cc1)C#N,3,1,0.00
"18@intermediate",CSCCC(=O)Nc1ccccn1,5,13,0.00
"20@reactant",CC(=C)C(=O)NC(C)(C)c1ccccc1,4,5,0.02
"3@product",CSCCC(=O)N1CCC[C@H](C1)n2c3c(c(n2)c4ccc(cc4)Oc5ccccc5)c(ncn3)N,8,100,0.02
"19@intermediate",CSCCC(=O)Nc1ccc(cc1)C#N,5,14,0.00
"19@product",CSCCC(=O)Nc1ccc(cc1)C#N,5,14,0.00
"21@reactant",CC(=C)C(=O)Nc1ccccc1,3,1,0.01
"22@reactant",CC(=CC(=O)Nc1ccccc1)C,3,3,0.02
"21@intermediate",C[C@H](CSC)C(=O)Nc1ccccc1,5,15,0.02
"21@product",C[C@H](CSC)C(=O)Nc1ccccc1,5,15,0.00
"23@reactant",C=CC(=O)Nc1ccc(cc1)N,3,1,0.02
"1@product",C[NH+](C)C[C@H](CC(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F)SC,11,100,0.02
"22@intermediate",CC(C)(CC(=O)Nc1ccccc1)SC,5,19,0.00
"1@intermediate",C[NH+](C)C[C@H](CC(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F)SC,11,100,0.02
"23@intermediate",CSCCC(=O)Nc1ccc(cc1)N,5,14,0.00
"22@product",CC(C)(CC(=O)Nc1ccccc1)SC,5,19,0.00
"23@product",CSCCC(=O)Nc1ccc(cc1)N,5,14,0.01
"1@reactant",C[NH+](C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,9,100,0.03
"20@intermediate",C[C@@H](CSC)C(=O)NC(C)(C)c1ccccc1,6,53,0.01
"20@product",C[C@@H](CSC)C(=O)NC(C)(C)c1ccccc1,6,53,0.01
"26@reactant",C=CC(=O)N1CCc2cnc(nc2C1)NC3CCOCC3,4,35,0.08
"26@intermediate",CSCCC(=O)N1CCc2cnc(nc2C1)NC3CCOCC3,6,100,0.16
"3@reactant",C=CC(=O)N1CCC[C@H](C1)n2c3c(c(n2)c4ccc(cc4)Oc5ccccc5)c(ncn3)N,6,100,0.03
"25@reactant",C=CC(=O)N1CCC[C@H]1Cn2cnc(c2c3cc4c(ncnc4s3)N)c5ccccc5,6,70,0.03
"26@product",CSCCC(=O)N1CCc2cnc(nc2C1)NC3CCOCC3,6,100,0.02
"24@reactant",COc1cc2c(cc1OC3CCN(CC3)C(=O)C=C)c(ncn2)Nc4cccc(c4F)Cl,7,100,0.05
"24@intermediate",COc1cc2c(cc1OC3CCN(CC3)C(=O)CCSC)c(ncn2)Nc4cccc(c4F)Cl,9,100,0.04
"24@product",COc1cc2c(cc1OC3CCN(CC3)C(=O)CCSC)c(ncn2)Nc4cccc(c4F)Cl,9,100,0.02
"25@intermediate",CSCCC(=O)N1CCC[C@H]1Cn2cnc(c2c3cc4c(ncnc4s3)N)c5ccccc5,8,83,0.10
"25@product",CSCCC(=O)N1CCC[C@H]1Cn2cnc(c2c3cc4c(ncnc4s3)N)c5ccccc5,8,83,0.03
"28@intermediate",CSCCC(=O)N1CCC(CC1)n2cc(cn2)c3cnc(c(n3)n4c5ccccc5nn4)N,7,100,0.23
"28@product",CSCCC(=O)N1CCC(CC1)n2cc(cn2)c3cnc(c(n3)n4c5ccccc5nn4)N,7,100,0.04
"27@intermediate",CCc1cccc(c1)Nc2c3cc(c(cc3ncc2C(=O)N)OC)NC(=O)[C@@H]4CCCN4C(=O)CCSC,12,100,0.02
"27@product",CCc1cccc(c1)Nc2c3cc(c(cc3ncc2C(=O)N)OC)NC(=O)[C@@H]4CCCN4C(=O)CCSC,12,100,0.02
"27@reactant",CCc1cccc(c1)Nc2c3cc(c(cc3ncc2C(=O)N)OC)NC(=O)[C@@H]4CCCN4C(=O)C=C,10,44,0.03
"29@intermediate",CSCCC(=O)N1CCN(CC1)C(=O)CNc2cc(c(cc2O)Cl)I,8,100,0.01
"29@product",CSCCC(=O)N1CCN(CC1)C(=O)CNc2cc(c(cc2O)Cl)I,8,100,0.02
"29@reactant",C=CC(=O)N1CCN(CC1)C(=O)CNc2cc(c(cc2O)Cl)I,6,100,0.06
"31@reactant",C=CC(=O)N1CCN(CC1)c2ncc(cn2)c3ccccc3,4,11,0.02
"28@reactant",C=CC(=O)N1CCC(CC1)n2cc(cn2)c3cnc(c(n3)n4c5ccccc5nn4)N,5,100,0.07
"30@intermediate",COc1cc(c(cc1NCC(=O)N2CCN(CC2)C(=O)CCSC)Cl)Cl,9,100,0.15
"30@product",COc1cc(c(cc1NCC(=O)N2CCN(CC2)C(=O)CCSC)Cl)Cl,9,100,0.02
"32@reactant",C=CC(=O)N1C[C@H](C[C@H]1C(=O)NCc2ccc(cc2)F)Sc3ccc(cc3)F,8,100,0.05
"32@intermediate",CSCCC(=O)N1C[C@H](C[C@H]1C(=O)NCc2ccc(cc2)F)Sc3ccc(cc3)F,10,100,0.07
"32@product",CSCCC(=O)N1C[C@H](C[C@H]1C(=O)NCc2ccc(cc2)F)Sc3ccc(cc3)F,10,100,0.02
"30@reactant",COc1cc(c(cc1NCC(=O)N2CCN(CC2)C(=O)C=C)Cl)Cl,7,100,0.06
"34@reactant",C[NH+](C)C/C=C/C(=O)Nc1ccc(c(c1)Nc2ncc(c(n2)c3cnn4c3cccc4)Cl)OC,9,100,0.07
"36@reactant",CC(C)([C@@H](c1cccc(c1)OC)O)NC(=O)C=C,6,56,0.01
"36@intermediate",CC(C)([C@@H](c1cccc(c1)OC)O)NC(=O)CCSC,8,100,0.26
"36@product",CC(C)([C@@H](c1cccc(c1)OC)O)NC(=O)CCSC,8,100,0.01
"51@reactant",C=CC(=O)Nc1cc(no1)c2ccccc2,4,4,0.01
"34@intermediate",C[NH+](C)C[C@H](CC(=O)Nc1ccc(c(c1)Nc2ncc(c(n2)c3cnn4c3cccc4)Cl)OC)SC,11,100,0.06
"31@intermediate",CSCCC(=O)N1CCN(CC1)c2ncc(cn2)c3ccccc3,6,80,0.03
"52@reactant",C=CC(=O)Nc1nc(cs1)c2ccccc2,4,6,0.00
"31@product",CSCCC(=O)N1CCN(CC1)c2ncc(cn2)c3ccccc3,6,80,0.01
